Country Code,Series Name,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
CAN,"Labor force, total",16580176,17062897,17457684,17668211,17814547,18032162,18379672,18660227,18786223,18984723,19145797,19315299,19521170,19585334,19691889,19879259,20145614,20348720,20768146,20480700,20965378,21375151,22136786
CAN,"Inflation, consumer prices (annual %)",2.52512014,2.258394409,2.758563214,1.857258719,2.213552034,2.002025395,2.138383993,2.370270674,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024,0.716999632,3.395193185,6.802801153,3.879001598
CAN,"Life expectancy at birth, total (years)",79.39804878,79.53073171,79.71512195,79.99219512,80.11268293,80.54365854,80.54365854,80.72463415,81.06609756,81.32219512,81.48268293,81.66365854,81.74487805,81.78439024,81.81560976,81.92487805,81.83292683,81.84390244,82.22390244,81.6604878,81.58707317,81.29560976,..
CAN,"Unemployment, total (% of total labor force) (national estimate)",7.219,7.665,7.574,7.185,6.758,6.484,6.156,6.284,8.46,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.28,5.415
CAN,"Population, total",31020855,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38939056,40097761
CAN,"Central government debt, total (% of GDP)",57.45835645,54.14911949,51.27133706,46.80098583,46.06165142,43.29167819,39.15856395,45.32051127,53.19244667,53.14973296,54.11938584,55.72516494,53.20086908,51.48270813,55.99158378,56.0236244,54.46256518,53.15153565,53.36232469,74.5540471,71.07396023,61.41786358,62.22852282
CAN,Interest payments (% of revenue),18.21401424,16.02369787,14.80248493,13.48823849,12.27662197,11.69354984,10.78758273,10.46093662,9.957371251,10.02012529,9.587826416,8.769526425,8.436848842,7.424005088,6.684858285,6.213119679,5.725803113,5.935678358,6.089503247,5.504543867,5.2193767,6.140760071,7.439370068
CAN,Interest payments (% of expense),19.69237091,17.3059793,15.69754597,14.65929539,12.81351009,12.76488039,11.93206659,10.82563816,9.35084486,8.894200528,9.116602195,8.539713385,8.397000588,7.705896016,7.012501288,6.360173795,5.871677448,6.2862578,6.164908436,3.677591313,4.40351117,6.046187166,7.612629433
CAN,Control of Corruption: Estimate,..,1.982231498,1.931292057,1.805866241,1.86970067,1.952794552,1.99088037,1.987721443,2.051796675,2.061873198,1.971133471,1.918904424,1.879377961,1.832192659,1.845650196,1.944465518,1.881446004,1.79020822,1.729896784,1.56571281,1.616268754,1.658573031,1.67150104
CAN,Refugee population by country or territory of asylum,129227,129935,133088,141402,147164,151832,175728,173642,169424,165544,164879,163751,160347,149164,135890,97322,104768,114101,101757,109214,130125,140621,169448
CAN,"Intentional homicides (per 100,000 people)",1.786937535,1.858095284,1.736273085,1.95853125,2.061093032,1.868936695,1.816662621,1.848365373,1.815804927,1.640000103,1.774292977,1.582502948,1.451644095,1.482857825,1.709945834,1.705731802,1.819209056,1.787486053,1.836227459,2.003235529,2.065259474,..,..
CAN,Real interest rate (%),4.17315132,2.914163587,1.392510078,0.715785247,1.260735591,3.161082058,2.714042801,0.704688624,4.833121719,-0.237699891,-0.236773176,1.760110339,1.237716691,1.038638973,3.67453345,1.968905239,0.125752237,..,..,..,..,..,..
CAN,Exports of goods and services (current US$),3.10668E+11,3.04706E+11,3.3015E+11,3.83241E+11,4.32369E+11,4.67052E+11,5.02771E+11,5.34151E+11,3.91986E+11,4.71737E+11,5.50164E+11,5.54965E+11,5.60109E+11,5.73083E+11,4.95747E+11,4.81358E+11,5.18767E+11,5.5772E+11,5.64142E+11,4.87991E+11,6.2666E+11,7.31555E+11,7.14928E+11
CAN,Imports of goods and services (current US$),2.68282E+11,2.71159E+11,2.95297E+11,3.37418E+11,3.85981E+11,4.30736E+11,4.70814E+11,5.06719E+11,4.11818E+11,5.02035E+11,5.70643E+11,5.89511E+11,5.89049E+11,5.89434E+11,5.34115E+11,5.17396E+11,5.54923E+11,5.91348E+11,5.89707E+11,5.24573E+11,6.26488E+11,7.28719E+11,7.24652E+11
CAN,GDP growth (annual %),1.875098132,2.99925535,1.806385135,3.092363835,3.210454357,2.6379438,2.049904611,0.99540631,-2.915086239,3.090806374,3.13719439,1.755661325,2.325813574,2.873466772,0.649970994,1.038550935,3.033834903,2.742963431,1.908431925,-5.038233441,5.286956891,3.819866339,1.248927304
CAN,Military expenditure (current USD),8375571425,8495399281,9958245602,11336489831,12988132964,14809892803,17417139931,19342058405,18936226052,19315688825,21393720864,20452107111,18515731210,17853640478,17937641895,17782775543,22269696323,22729327580,22394875659,23082774049,25362240829,26896315905,..
